[USGS_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,CWMS_LOC,CWMS_VER,PARAMETERS
[02176500],02176500,BROAD,HAMPTON SC ,USGS,02176500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02177000],02177000,TUGALOO,CLAYTON GA ,USGS,02177000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02178400],02178400,TUGALOO,CLAYTON GA ,USGS,02178400,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02176930],02176930,TUGALOO,BURRELLS FORDNR PINE MTNGA ,USGS,02176930,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02181580],02181580,TUGALOO,TALLULAH FALLSGA ,USGS,02181580,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02182000],02182000,TUGALOO,TOCCOA GA ,USGS,02182000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198375],02198375,SAVANNAH,ESTILL SC ,USGS,02198375,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02162500],02162500,SANTEE,GREENVILLE SC ,USGS,02162500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02163001],02163001,SANTEE,WILLIAMSTON SC ,USGS,02163001,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02163500],02163500,SANTEE,WARE SHOALS SC ,USGS,02163500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02164000],02164000,SANTEE,GREENVILLE SC ,USGS,02164000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02172300],02172300,EDISTO,MONETTA SC ,USGS,02172300,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02173000],02173000,EDISTO,DENMARK SC ,USGS,02173000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02175500],02175500,COMBAHEE,MILEY SC ,USGS,02175500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02176603],02176603,BROAD,BEAUFORT SC ,USGS,02176603,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02176640],02176640,BROAD,PARRIS ISLAND SC ,USGS,02176640,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02177000],02177000,SAVANNAH,CLAYTON GA ,USGS,02177000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02178400],02178400,SAVANNAH,CLAYTON GA ,USGS,02178400,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02181580],02181580,SAVANNAH,TALLULAH FALLSGA ,USGS,02181580,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02186000],02186000,SAVANNAH,LIBERTY SC ,USGS,02186000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02187010],02187010,SAVANNAH,ANDERSON SC ,USGS,02187010,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity,Radiation-Solar"
[02187910],02187910,SAVANNAH,STARR SC ,USGS,02187910,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02188100],02188100,SAVANNAH,CALHOUN FALLS SC ,USGS,02188100,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity,Radiation-Solar"
[02192500],02192500,SAVANNAH,MT. CARMEL SC ,USGS,02192500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02193340],02193340,LITTLE,WASHINGTON GA ,USGS,02193340,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02193500],02193500,SAVANNAH,WASHINGTON GA ,USGS,02193500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02193900],02193900,SAVANNAH,PLUM BRANCH SC ,USGS,02193900,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity,Radiation-Solar"
[02195520],02195520,SAVANNAH,EVANS GA ,USGS,02195520,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02196000],02196000,SAVANNAH,MODOC SC ,USGS,02196000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02196483],02196483,SAVANNAH,MORGANA SC ,USGS,02196483,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02196485],02196485,SAVANNAH,AUGUSTA (UPPER) ,USGS,02196485,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02196690],02196690,SAVANNAH,CLEARWATER SC ,USGS,02196690,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02196835],02196835,SAVANNAH,FT. GORDON GA ,USGS,02196835,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02196838],02196838,SAVANNAH,FORT GORDON GA ,USGS,02196838,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02196999],02196999,SAVANNAH,NEW SAV. LOCK AND DAM ,USGS,02196999,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02197000],02197000,SAVANNAH,AUGUSTA GA ,USGS,02197000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity,TURBN"
[02197020],02197020,SAVANNAH,AUGUSTA GA ,USGS,02197020,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02197500],02197500,SAVANNAH,MILLHAVEN GA ,USGS,02197500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198100],02198100,SAVANNAH,SARDIS GA ,USGS,02198100,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198500],02198500,SAVANNAH,CLYO GA ,USGS,02198500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198760],02198760,SAVANNAH,HARDEEVILLE SC ,USGS,02198760,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198840],02198840,SAVANNAH,PORT WENTWORTH GA ,USGS,02198840,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198920],02198920,SAVANNAH,PORT WENTWORTH GA ,USGS,02198920,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198980],02198980,SAVANNAH,FORT PULASKI GA ,USGS,02198980,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[021964832],021964832,SAVANNAH,BONAIRGA ,USGS,021964832,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[021970161],021970161,SAVANNAH,FT GORDONGA ,USGS,021970161,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02187910],02187910,ROCKY,STARR SC ,USGS,021989784,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[021989784],021989784,SAVANNAH,LIMEHOUSE SC ,USGS,021989784,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02218300],02218300,OCONEE,PENFIELD GA ,USGS,02218300,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02331600],02331600,CHATTAHOOCHEE,CORNELIA GA ,USGS,02331600,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[023312495],023312495,CHATTAHOOCHEE,CLARKESVILLE GA ,USGS,023312495,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[03439000],03439000,UPPER FRENCH BROAD,ROSMAN NC,USGS,03439000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
